Tweet.Text,Tweet.CreatedAt,Tweet.EditHistoryTweetsId,Tweet.InReplyToUserId,Tweet.ReferencedTweetsType,Tweet.ContextAnnotations.Domain.Id,Tweet.ContextAnnotations.Domain.Name,Tweet.ContextAnnotations.Entity.Id,Tweet.ContextAnnotations.Entity.Name,Tweet.PublicMetrics.RetweetCount,Tweet.PublicMetrics.ReplyCount,Tweet.PublicMetrics.LikeCount,Tweet.PublicMetrics.QuoteCount,Tweet.PublicMetrics.ImpressionCount,Tweet.Entities.Hashtags,Tweet.Withheld.Copyright,Tweet.Withheld.CountryCodes,Tweet.Withheld.Scope,Tweet.Lang,Tweet.ReplySettings,Tweet.PossiblySensitive,Tweet.EditControls.EditsRemaining,Tweet.EditControls.IsEditEligible,Tweet.EditControls.EditableUntil,User.CreatedAt,User.Name,User.Username,User.Url,User.Location,User.ProfileImageURL,User.VerifiedType,User.PublicMetrics.FollowersCount,User.PublicMetrics.FollowingCount,User.PublicMetrics.TweetCount,User.PublicMetrics.ListedCount,User.Description,User.Protected,User.Verified,User.Trusted
RT @jornalnacional: Operação Yanomami já destruiu mais de 200 acampamentos de garimpeiros. Imagens obtidas com exclusividade pelo #JornalNa…,2023-11-04,1645578282669047808,,,;3;4;29;47;69;131,;TV Shows;TV Episodes;Events [Entity Service];Brand;News Vertical;Unified Twitter Taxonomy,;10028356550;1640820747147915267;1640820747147915267;920731680242991104;840159616101044224;840159616101044224,;Jornal Nacional;Jornal Nacional;Jornal Nacional;Portal g1;World news;World news,5,0,0,0,0,,false,,,pt,everyone,false,5,false,2023-11-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Indivíduo escolhido para a função representaria a reencarnação de Buda na Terra https://t.co/kql31EfuEB #g1,2023-10-04,1645576543836557312,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,2,16,30,3,15952,;g1,false,,,pt,everyone,false,5,true,2023-11-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
RT @jornalnacional: O #JN está no ar. 📺#BoaNoiteJN https://t.co/NbmtyZELtK,2023-10-04,1645574521783549953,,,;3;4;29;47;69;131,;TV Shows;TV Episodes;Events [Entity Service];Brand;News Vertical;Unified Twitter Taxonomy,;10028356550;1640820747147915267;1640820747147915267;920731680242991104;840159616101044224;840159616101044224,;Jornal Nacional;Jornal Nacional;Jornal Nacional;Portal g1;World news;World news,9,0,0,0,0,;JN;BoaNoiteJN,false,,,pt,everyone,false,5,false,2023-11-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Leia detalhes https://t.co/EnrFcSuZh9 #g1,2023-10-04,1645569853082812416,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,0,3,25,1,26181,;g1,false,,,pt,everyone,false,5,true,2023-11-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
A iniciativa custará R$ 70 milhões ao ano e será implementada em 1.053 unidades de ensino https://t.co/zn2sbvFNnj #g1,2023-10-04,1645562306900946944,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,2,24,106,6,38644,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Empresa informou que pode ficar inadimplente e alerta sobre risco de liquidez no curto prazo https://t.co/PppmlxCost #g1,2023-10-04,1645557787735277568,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,8,24,77,18,43593,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Leia no blog de Andréia Sadi https://t.co/p4uSEGFwO3 #g1,2023-10-04,1645554751461883904,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,5,3,26,0,27681,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Professora que morreu em tobogã escapou ilesa de acidente de carro há menos de um ano https://t.co/A8ZR9KAY7o #g1 https://t.co/ajdW8OuVo3,2023-10-04,1645547202096291843,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,5,7,206,6,48466,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
"“Roubaram todos os nossos pertences"" https://t.co/8esju6oNZU #g1",2023-10-04,1645543080492146691,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,1,13,51,0,37263,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
"Danillo Félix Vicente de Oliveira tinha sido preso por roubo em 2020 com base num registro fotográfico, mas provou inocência. A mesma imagem foi usada para acusá-lo de um outro assalto https://t.co/cwHhM3pYHG #g1",2023-10-04,1645539651325939712,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,39,32,560,15,100633,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
"'A gente tentou, fez de tudo', conta DJ Mateus sobre não ter conseguido impedir que o artista de 24 anos dirigisse após ter bebido https://t.co/fKmHxRs6Rx #g1",2023-10-04,1645532104288026625,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,0,11,132,0,52119,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Veja valores https://t.co/OQhMwrJElE #g1,2023-10-04,1645529035072520192,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,6,17,29,10,33915,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Yasmim Carvalho foi achada desacordada dentro de casa e levada ao hospital; suspeita é que ela tenha sido agredida com pedaços de madeira https://t.co/i8vGC8kOjr #g1,2023-10-04,1645524553383432193,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,8,19,144,3,59811,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
https://t.co/wLUlRQ5BBo #g1,2023-10-04,1645523081971073038,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,0,2,33,0,30076,;g1,false,,,qme,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
"A moeda norte-americana subiu 0,17%, cotada a R$ 5,0660 https://t.co/iKsrAEXsLq #g1",2023-10-04,1645521263555739676,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,2,5,33,0,31653,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
"Como foram os 100 primeiros dias do terceiro mandato de Lula? O que esperar do futuro? Para responder, @juliaduailibi conversa com o jornalista Fábio Zambeli, que se dedica à cobertura política há três décadas. OUÇA AGORA ==&gt; https://t.co/HTo1xnIGjF #g1 https://t.co/wMXJbPIjAL",2023-10-04,1645517004042915840,,,;10;29;35;38;47;131;131;131;131;131;131;131;131;69;69;131;131,;Person;Events [Entity Service];Politician;Political Race;Brand;Unified Twitter Taxonomy;Unified Twitter Taxonomy;Unified Twitter Taxonomy;Unified Twitter Taxonomy;Unified Twitter Taxonomy;Unified Twitter Taxonomy;Unified Twitter Taxonomy;Unified Twitter Taxonomy;News Vertical;News Vertical;Unified Twitter Taxonomy;Unified Twitter Taxonomy,;862070591737675776;1411038381841084418;862070591737675776;1411038381841084418;920731680242991104;847878884917886977;862070591737675776;1070032753834438656;1411038381841084418;1455305940291375106;1488973753274929152;1518653237720625152;1518940800985427968;840159616101044224;1192882051944333313;840159616101044224;1192882051944333313,";Luiz Inácio ""Lula"" da Silva;Brazil General Elections 2022;Luiz Inácio ""Lula"" da Silva;Brazil General Elections 2022;Portal g1;Politics;Luiz Inácio ""Lula"" da Silva;Political figures;Brazil General Elections 2022;Brazil politics;Political events;Brazil political figures;Brazil political events;World news;Brazil national news;World news;Brazil national news",5,0,24,0,26747,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Caso aconteceu no centro de Louisville. Outras seis pessoas ficaram feridas. A polícia não esclareceu como o atirador foi morto https://t.co/rqRSfyQUXl #g1,2023-10-04,1645509453389737986,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,8,9,101,1,46066,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
"O município de Guarulhos chegou ao 12º lugar na lista das cidades com maior número de carteiras assinadas. Tornando-se a cidade não capital que mais gera empregos no Brasil! 

Saiba mais: https://t.co/t9VHgoBtD0  @PrefGru_Oficial #publi https://t.co/It7EhVH8jI",2023-10-04,1645506867030896640,,,;47;131;131;131;69;69;131;131,;Brand;Unified Twitter Taxonomy;Unified Twitter Taxonomy;Unified Twitter Taxonomy;News Vertical;News Vertical;Unified Twitter Taxonomy;Unified Twitter Taxonomy,;920731680242991104;847878884917886977;900740740468191232;920739856984051712;840159616101044224;1192882051944333313;840159616101044224;1192882051944333313,;Portal g1;Politics;Political issues;Economic Issues in Brazil;World news;Brazil national news;World news;Brazil national news,1,5,21,1,31375,;publi,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
Veja os destaques do g1 em 1 minuto desta segunda-feira #g1 https://t.co/KaN6VGpYFr,2023-10-04,1645502254215045129,,,;47;69;131,;Brand;News Vertical;Unified Twitter Taxonomy,;920731680242991104;840159616101044224;840159616101044224,;Portal g1;World news;World news,0,3,34,0,30738,;g1,false,,,pt,everyone,false,5,true,2023-10-04,2007-11-09,g1,g1,https://t.co/aU1rfIKpvv,Brasil,https://pbs.twimg.com/profile_images/1604933445796372486/pFEd9rbi_normal.jpg,business,14781534,61,758539,19417,"Siga o g1 nas redes sociais:
https://t.co/Z0QGNc44I7",false,true,true
